集計年,都道府県CD,都道府県名,産業大分類CD,産業大分類名,業種中分類CD,業種中分類名,企業単位_従業者数（人）
2009,03,岩手県,G,情報通信業,41,映像・音声・文字情報制作業,1133
2009,03,岩手県,H,運輸業，郵便業,42,鉄道業,350
2009,03,岩手県,H,運輸業，郵便業,43,道路旅客運送業,6780
2009,03,岩手県,H,運輸業，郵便業,44,道路貨物運送業,11473
2009,03,岩手県,H,運輸業，郵便業,45,水運業,56
2009,03,岩手県,H,運輸業，郵便業,46,航空運輸業,0
2009,03,岩手県,H,運輸業，郵便業,47,倉庫業,296
2009,03,岩手県,H,運輸業，郵便業,48,運輸に附帯するサービス業,451
2009,03,岩手県,H,運輸業，郵便業,49,郵便業（信書便事業を含む）,0
2009,03,岩手県,I,卸売業，小売業,50,各種商品卸売業,11
2009,03,岩手県,I,卸売業，小売業,51,繊維・衣服等卸売業,566
2009,03,岩手県,I,卸売業，小売業,52,飲食料品卸売業,8274
2009,03,岩手県,I,卸売業，小売業,53,建築材料，鉱物・金属材料等卸売業,4685
2009,03,岩手県,I,卸売業，小売業,54,機械器具卸売業,5107
2009,03,岩手県,I,卸売業，小売業,55,その他の卸売業,3335
2009,03,岩手県,I,卸売業，小売業,56,各種商品小売業,4793
2009,03,岩手県,I,卸売業，小売業,57,織物・衣服・身の回り品小売業,4001
2009,03,岩手県,I,卸売業，小売業,58,飲食料品小売業,30075
2009,03,岩手県,I,卸売業，小売業,59,機械器具小売業,9552
2009,03,岩手県,I,卸売業，小売業,60,その他の小売業,28162
2009,03,岩手県,I,卸売業，小売業,61,無店舗小売業,464
2009,03,岩手県,J,金融業，保険業,62,銀行業,4501
2009,03,岩手県,J,金融業，保険業,63,協同組織金融業,1555
2009,03,岩手県,J,金融業，保険業,64,貸金業，クレジットカード業等非預金信用機関,431
2009,03,岩手県,J,金融業，保険業,65,金融商品取引業，商品先物取引業,85
2009,03,岩手県,J,金融業，保険業,66,補助的金融業等,128
2009,03,岩手県,J,金融業，保険業,67,保険業（保険媒介代理業，保険サービス業を含む）,1801
2009,03,岩手県,K,不動産業，物品賃貸業,68,不動産取引業,1119
2009,03,岩手県,K,不動産業，物品賃貸業,69,不動産賃貸業・管理業,7340
2009,03,岩手県,K,不動産業，物品賃貸業,70,物品賃貸業,1983
2009,03,岩手県,L,学術研究，専門・技術サービス業,71,学術・開発研究機関,214
2009,03,岩手県,L,学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,2865
2009,03,岩手県,L,学術研究，専門・技術サービス業,73,広告業,623
2009,03,岩手県,L,学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,4183
2009,03,岩手県,M,宿泊業，飲食サービス業,75,宿泊業,9880
2009,03,岩手県,M,宿泊業，飲食サービス業,76,飲食店,24763
2009,03,岩手県,M,宿泊業，飲食サービス業,77,持ち帰り・配達飲食サービス業,2877
2009,03,岩手県,N,生活関連サービス業，娯楽業,78,洗濯・理容・美容・浴場業,12347
2009,03,岩手県,N,生活関連サービス業，娯楽業,79,その他の生活関連サービス業,2833
2009,03,岩手県,N,生活関連サービス業，娯楽業,80,娯楽業,6040
2009,03,岩手県,O,教育，学習支援業,81,学校教育,6810
2009,03,岩手県,O,教育，学習支援業,82,その他の教育，学習支援業,3762
2009,03,岩手県,P,医療，福祉,83,医療業,22749
2009,03,岩手県,P,医療，福祉,84,保健衛生,826
2009,03,岩手県,P,医療，福祉,85,社会保険・社会福祉・介護事業,23094
2009,03,岩手県,Q,複合サービス事業,86,郵便局,244
2009,03,岩手県,Q,複合サービス事業,87,協同組合（他に分類されないもの）,7288
2009,03,岩手県,R,サービス業（他に分類されないもの）,88,廃棄物処理業,3157
2009,03,岩手県,R,サービス業（他に分類されないもの）,89,自動車整備業,3793
2009,03,岩手県,R,サービス業（他に分類されないもの）,90,機械等修理業（別掲を除く）,1047
2009,03,岩手県,R,サービス業（他に分類されないもの）,91,職業紹介・労働者派遣業,1864
2009,03,岩手県,R,サービス業（他に分類されないもの）,92,その他の事業サービス業,11930
2009,03,岩手県,R,サービス業（他に分類されないもの）,93,政治・経済・文化団体,2404
2009,03,岩手県,R,サービス業（他に分類されないもの）,94,宗教,2189
2009,03,岩手県,R,サービス業（他に分類されないもの）,95,その他のサービス業,405
2009,04,宮城県,A,農業，林業,01,農業,4714
2009,04,宮城県,A,農業，林業,02,林業,1267
2009,04,宮城県,B,漁業,03,漁業（水産養殖業を除く）,1130
2009,04,宮城県,B,漁業,04,水産養殖業,405
2009,04,宮城県,C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,363
2009,04,宮城県,D,建設業,06,総合工事業,39803
2009,04,宮城県,D,建設業,07,職別工事業(設備工事業を除く),21622
2009,04,宮城県,D,建設業,08,設備工事業,24450
2009,04,宮城県,E,製造業,09,食料品製造業,24702
2009,04,宮城県,E,製造業,10,飲料・たばこ・飼料製造業,1590
2009,04,宮城県,E,製造業,11,繊維工業,3262
2009,04,宮城県,E,製造業,12,木材・木製品製造業（家具を除く）,1835
2009,04,宮城県,E,製造業,13,家具・装備品製造業,3525
2009,04,宮城県,E,製造業,14,パルプ・紙・紙加工品製造業,1162
2009,04,宮城県,E,製造業,15,印刷・同関連業,5106
2009,04,宮城県,E,製造業,16,化学工業,978
2009,04,宮城県,E,製造業,17,石油製品・石炭製品製造業,92
2009,04,宮城県,E,製造業,18,プラスチック製品製造業（別掲を除く）,2242
2009,04,宮城県,E,製造業,19,ゴム製品製造業,1261
2009,04,宮城県,E,製造業,20,なめし革・同製品・毛皮製造業,140
2009,04,宮城県,E,製造業,21,窯業・土石製品製造業,4303
2009,04,宮城県,E,製造業,22,鉄鋼業,1392
2009,04,宮城県,E,製造業,23,非鉄金属製造業,1262
2009,04,宮城県,E,製造業,24,金属製品製造業,5511
2009,04,宮城県,E,製造業,25,はん用機械器具製造業,1530
2009,04,宮城県,E,製造業,26,生産用機械器具製造業,4052
2009,04,宮城県,E,製造業,27,業務用機械器具製造業,3481
2009,04,宮城県,E,製造業,28,電子部品・デバイス・電子回路製造業,8455
2009,04,宮城県,E,製造業,29,電気機械器具製造業,4359
2009,04,宮城県,E,製造業,30,情報通信機械器具製造業,2655
2009,04,宮城県,E,製造業,31,輸送用機械器具製造業,3465
2009,04,宮城県,E,製造業,32,その他の製造業,2546
2009,04,宮城県,F,電気・ガス・熱供給・水道業,33,電気業,14531
2009,04,宮城県,F,電気・ガス・熱供給・水道業,34,ガス業,128
2009,04,宮城県,F,電気・ガス・熱供給・水道業,35,熱供給業,0
2009,04,宮城県,F,電気・ガス・熱供給・水道業,36,水道業,304
2009,04,宮城県,G,情報通信業,37,通信業,3014
2009,04,宮城県,G,情報通信業,38,放送業,1002
2009,04,宮城県,G,情報通信業,39,情報サービス業,9076
2009,04,宮城県,G,情報通信業,40,インターネット附随サービス業,458
2009,04,宮城県,G,情報通信業,41,映像・音声・文字情報制作業,2339
2009,04,宮城県,H,運輸業，郵便業,42,鉄道業,364
2009,04,宮城県,H,運輸業，郵便業,43,道路旅客運送業,11367
2009,04,宮城県,H,運輸業，郵便業,44,道路貨物運送業,27995
2009,04,宮城県,H,運輸業，郵便業,45,水運業,492
2009,04,宮城県,H,運輸業，郵便業,46,航空運輸業,174
2009,04,宮城県,H,運輸業，郵便業,47,倉庫業,1528
2009,04,宮城県,H,運輸業，郵便業,48,運輸に附帯するサービス業,1956
2009,04,宮城県,H,運輸業，郵便業,49,郵便業（信書便事業を含む）,0
2009,04,宮城県,I,卸売業，小売業,50,各種商品卸売業,81
2009,04,宮城県,I,卸売業，小売業,51,繊維・衣服等卸売業,1630
2009,04,宮城県,I,卸売業，小売業,52,飲食料品卸売業,17572
2009,04,宮城県,I,卸売業，小売業,53,建築材料，鉱物・金属材料等卸売業,12215
2009,04,宮城県,I,卸売業，小売業,54,機械器具卸売業,13734
2009,04,宮城県,I,卸売業，小売業,55,その他の卸売業,10679
2009,04,宮城県,I,卸売業，小売業,56,各種商品小売業,2644
2009,04,宮城県,I,卸売業，小売業,57,織物・衣服・身の回り品小売業,6264
2009,04,宮城県,I,卸売業，小売業,58,飲食料品小売業,46560
2009,04,宮城県,I,卸売業，小売業,59,機械器具小売業,20737
2009,04,宮城県,I,卸売業，小売業,60,その他の小売業,42276
2009,04,宮城県,I,卸売業，小売業,61,無店舗小売業,8788
2009,04,宮城県,J,金融業，保険業,62,銀行業,4143
2009,04,宮城県,J,金融業，保険業,63,協同組織金融業,3162
2009,04,宮城県,J,金融業，保険業,64,貸金業，クレジットカード業等非預金信用機関,646
2009,04,宮城県,J,金融業，保険業,65,金融商品取引業，商品先物取引業,39
2009,04,宮城県,J,金融業，保険業,66,補助的金融業等,292
2009,04,宮城県,J,金融業，保険業,67,保険業（保険媒介代理業，保険サービス業を含む）,2965
2009,04,宮城県,K,不動産業，物品賃貸業,68,不動産取引業,3990
2009,04,宮城県,K,不動産業，物品賃貸業,69,不動産賃貸業・管理業,15183
2009,04,宮城県,K,不動産業，物品賃貸業,70,物品賃貸業,6771
2009,04,宮城県,L,学術研究，専門・技術サービス業,71,学術・開発研究機関,621
2009,04,宮城県,L,学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,6662
2009,04,宮城県,L,学術研究，専門・技術サービス業,73,広告業,1462
2009,04,宮城県,L,学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,12652
2009,04,宮城県,M,宿泊業，飲食サービス業,75,宿泊業,11227
2009,04,宮城県,M,宿泊業，飲食サービス業,76,飲食店,47975
2009,04,宮城県,M,宿泊業，飲食サービス業,77,持ち帰り・配達飲食サービス業,4006
2009,04,宮城県,N,生活関連サービス業，娯楽業,78,洗濯・理容・美容・浴場業,20650
2009,04,宮城県,N,生活関連サービス業，娯楽業,79,その他の生活関連サービス業,6037
2009,04,宮城県,N,生活関連サービス業，娯楽業,80,娯楽業,7160
2009,04,宮城県,O,教育，学習支援業,81,学校教育,22201
2009,04,宮城県,O,教育，学習支援業,82,その他の教育，学習支援業,8512
2009,04,宮城県,P,医療，福祉,83,医療業,36002
2009,04,宮城県,P,医療，福祉,84,保健衛生,1726
2009,04,宮城県,P,医療，福祉,85,社会保険・社会福祉・介護事業,30264
2009,04,宮城県,Q,複合サービス事業,86,郵便局,222
2009,04,宮城県,Q,複合サービス事業,87,協同組合（他に分類されないもの）,6438
2009,04,宮城県,R,サービス業（他に分類されないもの）,88,廃棄物処理業,5665
2009,04,宮城県,R,サービス業（他に分類されないもの）,89,自動車整備業,5808
2009,04,宮城県,R,サービス業（他に分類されないもの）,90,機械等修理業（別掲を除く）,3324
2009,04,宮城県,R,サービス業（他に分類されないもの）,91,職業紹介・労働者派遣業,5167
2009,04,宮城県,R,サービス業（他に分類されないもの）,92,その他の事業サービス業,29761
2009,04,宮城県,R,サービス業（他に分類されないもの）,93,政治・経済・文化団体,4129
2009,04,宮城県,R,サービス業（他に分類されないもの）,94,宗教,4103
2009,04,宮城県,R,サービス業（他に分類されないもの）,95,その他のサービス業,153
2009,05,秋田県,A,農業，林業,01,農業,6403
2009,05,秋田県,A,農業，林業,02,林業,1883
2009,05,秋田県,B,漁業,03,漁業（水産養殖業を除く）,131
2009,05,秋田県,B,漁業,04,水産養殖業,85
2009,05,秋田県,C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,475
2009,05,秋田県,D,建設業,06,総合工事業,22685
2009,05,秋田県,D,建設業,07,職別工事業(設備工事業を除く),11082
2009,05,秋田県,D,建設業,08,設備工事業,10055
2009,05,秋田県,E,製造業,09,食料品製造業,8253
2009,05,秋田県,E,製造業,10,飲料・たばこ・飼料製造業,1159
2009,05,秋田県,E,製造業,11,繊維工業,7995
2009,05,秋田県,E,製造業,12,木材・木製品製造業（家具を除く）,3539
